date,target_swe,ERA5,BiLSTM_avg,Transformer_avg
2022-05-26,,137.33353624069625,125.17679662430221,137.61759199821884
2022-05-27,,137.33353624069625,125.40875873291427,136.91746282303268
2022-05-28,,137.33353624069625,125.61129178726608,137.75704891407423
2022-05-29,,137.33353624069625,125.75597705566818,137.61432146751815
2022-05-30,,137.33353624069625,125.89916352951461,137.22017733776505
2022-05-31,,137.33353624069625,125.91662988388472,137.87400932037764
2022-10-01,,1.4099280039469,0.0,3.1663212617238043
2022-10-02,,1.2225310007730998,0.0,6.724423281351713
2022-10-03,,0.93305110931395,0.0,6.872981548309312
2022-10-04,,0.6477832794189,0.0,4.989628386497452
2022-10-05,,0.3957351048787434,0.0,4.08431417842706
2022-10-06,,0.1704891522725423,0.0,3.442932073275248
2022-10-07,,0.0835458437601725,0.0,3.112130626042684
2022-10-08,,0.0276764233907063,0.0,2.8739500443140664
2022-10-09,,0.0021258989969889,0.0,2.5429971893628442
2022-10-10,,0.0005364418029785,0.0,2.4350613832473753
2022-10-23,,0.0104506810506184,0.0,2.308642200628916
2022-10-24,,0.0583728154500325,0.0,3.573335941632588
2022-10-25,,0.0600814819335937,0.0,4.685632753372192
2022-10-26,,0.0453988711039225,0.0,3.0231993993123374
2022-10-27,,0.0331600507100423,0.0,0.5888128121693929
2022-10-28,,0.94721714655555,0.07177193164823478,3.6377455075581606
2022-10-29,,1.05798244476315,0.4219577074050635,11.208668327331509
2022-10-30,,1.56031052271525,0.5660553534825639,9.741147772471109
2022-10-31,,1.4975468317667502,0.276498150825492,1.1423136472701942
2022-11-01,,0.9114344914754,0.12587922414142955,3.6552710553010073
2022-11-02,,0.7015466690062999,0.20424844026562688,11.340759277343702
2022-11-03,,0.50105651219685,0.04090934197107776,7.422957166035962
2022-11-04,,0.37918488184611,0.0229294737180074,2.237722967068354
2022-11-05,,0.2550284067789714,0.0,1.3202296694119773
2022-11-06,,0.1732508341471354,0.0,0.4027993844201167
2022-11-07,,1.50823593139645,0.5580779016017707,6.232309913635219
2022-11-08,,2.9685298601786,1.576817353566464,6.012209002176891
2022-11-09,,4.44912910461425,2.9015559554099974,8.290163087844842
2022-11-10,11.0,4.82964515686035,3.330323171615599,11.81975517272949
2022-11-11,,5.9754451115926,4.177356682221086,11.513986619313545
2022-11-12,,8.322715759277301,5.2454818725585595,7.037757760286288
2022-11-13,,15.47382275263465,10.874951187769536,5.703269449869757
2022-11-14,,14.3515666325887,9.862033780415848,18.336432679494216
2022-11-15,,8.078734079996702,4.197127183278367,14.415000693003293
2022-11-16,,6.74839814503985,3.260132424036641,3.6816758145888384
2022-11-17,,7.4931979179382,4.211063551902745,10.793465638160674
2022-11-18,,7.75873661041255,4.69933261871334,11.355948877334546
2022-11-19,,8.134464422861699,5.091563423474601,8.956264064709309
2022-11-20,9.0,11.318306128184,7.7586927493413285,6.123398415247598
2022-11-21,,11.51925325393675,8.317008107900605,11.66705320402978
2022-11-22,,13.22762171427405,9.737981988986302,15.987805835405947
2022-11-23,,13.94192377726235,10.380818869670216,12.03636951247849
2022-11-24,,13.99372021357215,10.698061170180612,16.249422035614614
2022-11-25,,16.5270169576009,12.604908617337532,13.95916934808094
2022-11-26,,19.531091054280548,15.772954376538545,7.36396058400467
2022-11-27,,19.5465087890625,16.399444180727006,27.83248052597046
2022-11-28,,19.5496877034505,16.64366162617999,24.975217898686704
2022-11-29,,19.5522904396057,16.697336912155137,19.841441857814775
2022-11-30,25.0,19.55509185791015,16.85042883753776,19.620891141891473
2022-12-01,,40.57141108559188,37.95415487931785,40.956016141639324
2022-12-02,,40.57646563916624,37.960007229141596,40.61186297803342
2022-12-03,,40.58555705096458,37.942531128189316,40.429441464653955
2022-12-04,,40.76355196777704,37.96011030618074,39.42610694710138
